"","Program","Year","Period","State","State ANSI","Data Item","Domain","Domain Category","Value","CV (%)"
"1","CENSUS",2021,"YEAR","ALASKA","02","STRAWBERRIES, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","2","(H)"
"2","CENSUS",2021,"YEAR","ALASKA","02","STRAWBERRIES, ORGANIC - PRODUCTION, MEASURED IN CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","(D)","(D)"
"3","CENSUS",2021,"YEAR","ALASKA","02","STRAWBERRIES, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","(D)","(D)"
"4","CENSUS",2021,"YEAR","ALASKA","02","STRAWBERRIES, ORGANIC - SALES, MEASURED IN CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","(D)","(D)"
"5","CENSUS",2021,"YEAR","ALASKA","02","STRAWBERRIES, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","2","(H)"
"6","CENSUS",2021,"YEAR","ALASKA","02","STRAWBERRIES, ORGANIC, FRESH MARKET - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","(D)","(D)"
"7","CENSUS",2021,"YEAR","ALASKA","02","STRAWBERRIES, ORGANIC, FRESH MARKET - SALES, MEASURED IN CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","(D)","(D)"
"8","CENSUS",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","142","19.2"
"9","CENSUS",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES, ORGANIC - PRODUCTION, MEASURED IN CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","1,413,251","51.6"
"10","CENSUS",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","311,784,980","46.0"
"11","CENSUS",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES, ORGANIC - SALES, MEASURED IN CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","1,412,627","51.7"
"12","CENSUS",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","141","20.4"
"13","CENSUS",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES, ORGANIC, FRESH MARKET - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","(D)","(D)"
"14","CENSUS",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES, ORGANIC, FRESH MARKET - SALES, MEASURED IN CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","1,401,384","50.6"
"15","CENSUS",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES, ORGANIC, PROCESSING - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","7","60.0"
